AFF_LOVE_POINT	Love points: %d%%
PET_SKIL_29	Karanlýk El Kitabý
PICK_ITEM_TITLE	Eþya No
PICK_MONEY_TITLE	Toplam
PRIVATESHOPSEARCH_BOOKS	Kitaplar
PRIVATESHOPSEARCH_COSTUME	Kostümler
PRIVATESHOPSEARCH_COSTUMES	Kozmetik
PRIVATESHOPSEARCH_COUNT	Miktar
PRIVATESHOPSEARCH_DRAGONSOULALCHEMY	Simya Ejderhasi
PRIVATESHOPSEARCH_EQUIPMENT	Ekipmanlar
PRIVATESHOPSEARCH_ITEMNAME	Nesne adý
PRIVATESHOPSEARCH_OTHERITEMS	Diðer nesneler
PRIVATESHOPSEARCH_PET	Evcil Hayvan Sistemi
PRIVATESHOPSEARCH_PETS	Evcil Hayvanlar
PRIVATESHOPSEARCH_SEARCH_BAR	Küresel Arama
PRIVATESHOPSEARCH_SELLER	Satýcý
PRIVATESHOPSEARCH_WEAPON	Silahlar
PRIVATE_SHOP_CANNOT_SELL_ITEM	Bu eþyayý özel dükkanda satamazsýnýz.
PRIVATE_SHOP_CLOSE_QUESTION	Özel dükkaný kapatmak istiyor musunuz?
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Fiyat
PURCHASES_ACCOUNTID	Hesap Kimliði
PURCHASES_DATE	Tarih
PURCHASES_IP	IP
PURCHASES_ITEMBOUGHT	Ürün Satýn Alýndý
PURCHASES_PRICE	Fiyat
PURCHASES_PRICE_TEXT	|Eishop/mini_coin|e |cffF7BD48%s Coins
PVP_EVENT_TIME	Baþlýyor: %s
PVP_LEVEL0	Kahraman
PVP_LEVEL1	Soylu
PVP_LEVEL2	Ýyi
PVP_LEVEL3	Arkadaþça
PVP_LEVEL4	Tarafsýz
PVP_LEVEL5	Agresif
PVP_LEVEL6	Hileli
PVP_LEVEL7	Kötü Niyetli
PVP_LEVEL8	Zalim
PVP_MODE_GUILD	PvP - Lonca etkinleþtirildi
PVP_MODE_KILL	PvP - Serbest etkinleþtirildi
PVP_MODE_NORMAL	PvP - Barýþ etkinleþtirildi.
PVP_MODE_PROTECT	PvP - Koruma etkinleþtirildi.
PVP_MODE_REVENGE	PvP - Düþman etkinleþtirildi
PVP_OPTION_KILL	Serbest
PVP_OPTION_NORMAL	Barýþ
PVP_OPTION_PROTECT	Koruma
PVP_OPTION_REVENGE	Düþmanca
QUEST_MIN	Dk.
QUEST_SEC	Sn.
QUEST_TIMEOVER	Zaman doldu.
QUEST_UNLIMITED_TIME	Zaman sýnýrý yok.
QUICKSLOT_REGISTER_DISABLE_ITEM	Bu nesne hýzlý eriþim alanýna eklenemez.
RANKING	Rütbe
RARITY_BROKEN_TEXT	|cffFF5D5DOKýrýk Item|r\mDonatýlmýþ bir eþyanýz bozuldu, onarýn.
RARITY_LOW_TEXT	|cffFFC800Bir öðe bozulmak üzere|r\m %d%% kullanýmlý bir öðeniz var\m bozulmadan önce düzeltin.
RECEIVE_MESSAGE	%s mesaj gönderdi.
RED_KINGDOM	|cFFFBB497Shinsoo:|h|r
REFINE_COST	Yükseltme bedeli: %s
REFINE_COST_UPGRADE	[i] Yükseltme fiyatý
REFINE_CURRENT_ITEM	[i] Geçerli öðe
REFINE_CURRENT_PERCENTAGE	[i] Ýyileþtirme olasýlýðý: %d%%
REFINE_DESTROY_WARNING	Bu eþya yükseltme sýrasýnda yok edilebilir.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Bu nesneyi gerçekten yükseltmek istiyor musun?
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	Hata vermesi durumunda nesne yok olur. Devam etmek istiyor musun?
REFINE_DOWN_GRADE_WARNING	Eþyanýn arýndýrýlýrken deðeri düþebilir.
REFINE_DO_YOU_SEPARATE_METIN	Mevcut olan tüm zihin taþlarý çýkarýlsýn mý?
REFINE_ELEMENT_CHANGE_TEXT	%s þimdi %s elementine sahip!
REFINE_ELEMENT_DOWNGRADE_TEXT	Elementer sihiri seviyesi düþtü.
REFINE_ELEMENT_TEXT_DARK	Karanlýk +%d
REFINE_ELEMENT_TEXT_EARTH	Toprak +%d
REFINE_ELEMENT_TEXT_ELECT	Þimþek +%d
REFINE_ELEMENT_TEXT_FIRE	Ateþ +%d
REFINE_ELEMENT_TEXT_ICE	Buz +%d
REFINE_ELEMENT_TEXT_WIND	Rüzgar +%d
REFINE_ELEMENT_UPGRADE_FAIL_TEXT	Elementer sihiri baþarýsýz!
REFINE_ELEMENT_UPGRADE_SUCCESS_TEXT	Elementer sihiri baþarýlý!
REFINE_ERROR_ADD_PERC_STONES	[Refine] Taþ baþarý oranýný artýrmak için iksir ekleyemezsiniz.
REFINE_ERROR_ITEM_COUNT	[Refine] Yalnýzca 1 sayý ekleyebilirsiniz, daha fazla deðil.
REFINE_ERROR_ITEM_OVERFLOW_PERCENTAGE	[Refine] Toplam yüzde 100'ün üzerinde, bunu yapamazsýnýz.
REFINE_ERROR_ADD_PERC_STONES	[Refine] Taþlarýn baþarý oranýný yükseltemezsiniz.
REFINE_FAILURE	Tüh, olmadý. Beceremedik.
REFINE_FAILURE_CAN_NOT_ATTACH	Bu nesneye %s katamazsýn.
REFINE_FAILURE_CAN_NOT_ATTACH0	%s eklemenin bir yolu yok.
REFINE_FAILURE_EQUIP_ITEM	Kullanýlmakta olan nesneleri geliþtiremezsin.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Çýkarabileceðiniz zihin taþý yok.
REFINE_FAILURE_NEED_BETTER_SCROLL	Daha iyi bir yükseltme Rolesine ihtiyacýnýz var.
REFINE_FAILURE_NO_GOLD_SOCKET	Burada %s eklemek için altýn yuva yok.
REFINE_FAILURE_NO_MORE_SOCKET	Daha fazla slot ekleyemezsin.
REFINE_FAILURE_NO_SOCKET0	%s eklemek için boþ slot yok.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Bu nesneye slot ekleyemezsin.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Bu nesne yükseltilemez.
REFINE_INCREASE_PERCENTAGE	[Ekstra + %d%%]
REFINE_NEED_ITEMS	[i] Gerekli nesneler
REFINE_NEXT_ITEM	[i] Ýyileþtirilmiþ Öðe
REFINE_PERCENTAGE_LOW	+%5
REFINE_PERCENTAGE_MEDIUM	+%10
REFINE_PERCENTAGE_EXTRA	+%15
REFINE_SUCCESS	Nesnenin yükseltilmesi baþarýyla tamamlandý.
REFINE_SUCCESS_PROBALITY	Yükseltme þansý %d%%
REFINE_TOOLTIP_ITEM_DESCRIPTION_1	
REFINE_TOOLTIP_ITEM_DESCRIPTION_2	
REFINE_TOOLTIP_ITEM_DESCRIPTION_3	
REFINE_TOOLTIP_ITEM_DESCRIPTION_4	
REFINE_WARNING2	Devam etmek istiyor musun?
REVIVE_AUTO_TOWN_MESSAGE	Otomatik canlanma tarihi: {}
SAFEBOX_ERROR	Yanlýþ þifre girdin.
SAFEBOX_SELL_DISABLE_SAFEITEM	Korumalý nesneleri satamazsýnýz.
SAFEBOX_WRONG_PASSWORD	Þifre ayný olmalý.
SASH_ABSORB_CHANCE	Emilim: %d%%
SASH_ABSORB_CHANCE2	Emilim: %d%% ~ %d%%
SASH_DEL_ABSORDITEM	Öðeyi em, emilen öðe yok edilecek.
SASH_DEL_SERVEITEM	Ýþlem baþarýsýz olursa ikinci çalma yok edilecek
SASH_DO_YOU_CLEAN	Bonuslardan kurtulmak mý istiyorsunuz?
SASH_FAILURE_CLEAN	Bonuslar kaldýrýlamaz.
SASH_REFINE_COST	Emilim fiyatý: %d
SAVED_ACCOUNT	Kayýtlý Hesap
SAVE_ACCOUNT	Hesabý Kaydet
SCREENSHOT_SAVE1	Ekran görüntüsü '%s' olarak kaydedildi.
SCREENSHOT_SAVE2	Dosyasý Kaydedildi
SCREENSHOT_SAVE_FAILURE	Ekran görüntüsü kaydý yapýlamadý.
SEARCH_BONUS	Bonuslu
SEARCH_DEFAULT	Varsayýlan
SEARCH_NOBONUS	Bonus yok
SECOND	sn
SELECT_CAN_NOT_DELETE	Karakteri silemezsin.
SELECT_CHANGED_NAME	Karakterin adýný deðiþtirdin
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Bu karakter adý kullanýlýyor
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Tekrar dene.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Bu karakter adý yanlýþ.
SELECT_CHANGE_NAME_TITLE	Karakter adýný deðiþtir
SELECT_DELEING	Silme iþlemi baþlatýlýyor...
SELECT_DELETED	Baþarýyla silindi.
SELECT_DO_YOU_DELETE_REALLY	Devam etmek istiyor musun?
SELECT_EMPTY_SLOT	Bu boþ bir alan.
SELECT_INPUT_CHANGING_NAME	Yeni karakter adý gir.
SELECT_UNKNOWN_LANG	Bu dil þu anda mevcut deðil.
SEPTEMBER	Eylül
SERVERNAME	Vidra II
SERVERNAMETEST	Test Server
SERVER_TIME	Sunucu Saati
SHIP_MAST	Direk
SHOP_BUY_INFO	Market penceresinden satýn almak istediðin nesneyi seç.
SHOP_CANNOT_SELL_ITEM	Bu eþya satýlamaz.
SHOP_ERROR_UNKNOWN	Bilinmeyen market hatasý: %s
SHOP_EXCEED_LIMIT_TODAY	Günlük puan kullanýmý limitini aþtýn.
SHOP_INVALID_POS	Bu eþya burada kullanýlamaz.
SHOP_INVENTORY_FULL	Envanterde boþ alan yok.
SHOP_NOT_ENOUGH_BATTLE_POINT	Savaþ puanýn yetersiz.
SHOP_NOT_ENOUGH_COUNT	Yeterli öðeniz yok.
SHOP_NOT_ENOUGH_MONEY	Yeterli Won veya Yang yok
SHOP_NOT_ENOUGH_MONEY_EX	Yeterli Yang'a sahip deðilsin.
SHOP_SEARCH_TITLE	Nesne Arama
SHOP_SELL_INFO	Envanter penceresinden satmak istediðin nesneyi seç.
SHOP_SOLDOUT	Satýldý
SHOT_ERROR_UNKNOWN	Uzaktan saldýrý esnasýnda belirsiz hata: %s
SKILL_BLEEDING	Kanama
SKILL_BOHO	Yansýtma
SKILL_CHEONGEUN	Güçlü Beden
SKILL_EUNHYEONG	Kamuflaj
SKILL_FIRE	Sürekli Ateþ
SKILL_FISHMIND	Balýkçýlýk Küresi etkin
SKILL_GEOMGYEONG	Hava Kýlýcý
SKILL_GICHEON	Ejderha Yardýmý
SKILL_GONGPO	Dehþet
SKILL_GRADE_NAME_GRAND_MASTER	%s Grand Master
SKILL_GRADE_NAME_MASTER	%s Master
SKILL_GRADE_NAME_PERFECT_MASTER	%s Perfect Master
SKILL_GROUP_ASSASSIN_1	Býçak
SKILL_GROUP_ASSASSIN_2	Ok
SKILL_GROUP_HORSE	Binicilik
SKILL_GROUP_SHAMAN_1	EjderGücü
SKILL_GROUP_SHAMAN_2	Iyileþtirme
SKILL_GROUP_SURA_1	Silah
SKILL_GROUP_SURA_2	Kara Büyü
SKILL_GROUP_WARRIOR_1	Bedensel
SKILL_GROUP_WARRIOR_2	Zihinsel
SKILL_GWIGEOM	Büyülü Silah
SKILL_GYEONGGONG	Hafif Adým
SKILL_HEUKSIN	Karanlýk Koruma
SKILL_HOSIN	Kutsama
SKILL_INC_ATKSPD	Saldýrý hýzý arttýrýldý
SKILL_INC_MOVSPD	Hareket hýzý arttýrýldý
SKILL_JEONGWI	Öfke
SKILL_JEUNGRYEOK	Atak +
SKILL_JUMAGAP	Büyülü Zýrh
SKILL_KWAESOK	Hýz
SKILL_MUYEONG	Ateþ Hayaleti
SKILL_NEED_EMPTY_BOTTLE	Boþ þiþem yok.
SKILL_NEED_POISON_BOTTLE	Zehir þiþem yok.
SKILL_ONLY_FOR_GUILD_WAR	Bu beceriyi sadece Lonca Savaþý sýrasýnda kullanabilirsin.
SKILL_PABEOP	Büyü Çözme
SKILL_POWERFUL_STRIKE	Sersemletici Saldýrý
SKILL_SLOW	Yavaþ
SKILL_STUN	Sersemletme
SKILL_SUMMON_DESCRIPTION	Çaðýrma þansý: %d%%
SKILL_TOOLTIP_INT	Zeka
SKILL_TOOLTIP_LEVEL	Seviye
SKILL_TOXICDIE	Zehirleme
SNOWDUNGEON	Nemere
SPIDERBARONESA	Barones Örümcek
STAT_MINUS_CON	Canlýlýk Ayarý (kalan: %d)
STAT_MINUS_DEX	Çeviklik Ayarý (kalan: %d)
STAT_MINUS_INT	Zeka Ayarý (kalan: %d)
STAT_MINUS_STR	Güç Ayarý (kalan: %d)
STAT_TOOLTIP_ATT	Saldýrý deðeri
STAT_TOOLTIP_ATT_SPEED	Saldýrý hýzý
STAT_TOOLTIP_BASE_LEVEL	Seviye
STAT_TOOLTIP_CAST_SPEED	Büyü hýzý
STAT_TOOLTIP_CON	HP ve Savunma'yý arttýrýyor
STAT_TOOLTIP_CONQUEROR_LEVEL	Þampiyon seviyesi
STAT_TOOLTIP_DEF	Savunma
STAT_TOOLTIP_DEX	Saldýrý ve Savuþturma'yý arttýryor
STAT_TOOLTIP_IMG_CON	VIT: HP ve savunmayý artýrýr
STAT_TOOLTIP_IMG_DEX	DEX: Saldýrý ve savuþturmayý artýrýr
STAT_TOOLTIP_IMG_INT	INT: SP, büyülü saldýrý ve savunmayý artýrýr.
STAT_TOOLTIP_IMG_STR	STR: Saldýrý deðeri ve hasarý artýrýr
STAT_TOOLTIP_INT	SP, Büyülü Saldýrý ve Savunma'yý artýrýyor
STAT_TOOLTIP_MAG_ATT	Büyülü saldýrý deðeri
STAT_TOOLTIP_MAG_DEF	Büyü savunmasý
STAT_TOOLTIP_MOVE_SPEED	Hareket hýzý
STAT_TOOLTIP_STR	Saldýrý Deðeri'ni ve Hasarý arttýrýyor
STAT_TOOLTIP_SUNGMA_HP	Rakibin SungMa iradesi (VIT) ve haritaya baðlý olarak HP deðerini deðiþtirir
STAT_TOOLTIP_SUNGMA_IMMUNE	Rakibin SungMa iradesi (INT) ve haritaya baðlý olarak durum etkilerine karþý duyarlýlýðý deðiþtirir
STAT_TOOLTIP_SUNGMA_MOVE	Rakibin SungMa iradesi (RES) ve haritaya baðlý olarak hareket hýzýný deðiþtirir
STAT_TOOLTIP_SUNGMA_STR	Rakibin SungMa iradesi (STR) ve haritaya baðlý olarak saldýrýyý deðiþtirir
SWITCHBOT_1	Etkin
SWITCHBOT_2	Anahtarlama
SWITCHBOT_3	Durdur
SWITCHBOT_4	Etkinleþtir
SWITCHBOT_5	Tamamlandý
SWITCHBOT_7	Geçiþi Baþlatýn
SWITCHBOT_8	Yok
SWITCHBOT_9	Bu öðenin bonuslarýný deðiþtiremezsiniz
SWITCHBOT_10	Sekmeyi Kapat
SWITCHBOT_12	Bu yuva zaten kullanýlmýþ!
SWITCHBOT_13	Makale eklendi!
SWITCHBOT_14	Durumu
SWITCHBOT_15	Büyüt
SWITCHBOT_16	Küçült
SWITCHBOT_17	Nesneyi buraya sürükleyin
SWITCHBOT_TITLE	[F9] Doper
SWITCHBOT_START	Baþlat
SWITCHBOT_STOP	Durdur
SWITCHBOT_EMPTY_ATTR	Hiçbir bonus seçilmedi
SWITCHBOT_SELECT_ATTR	Bonuslarý
SWITCHBOT_CLEAR_ATTR	Sil
SWITCHBOT_CONFIGURATION_TITLE	Kaydedilen Bonuslar
SWITCHBOT_SAVE_BUTTON	Listeyi kaydet
SWITCHBOT_SAVE	Kaydet
SWITCHBOT_LOAD_CONFIGURATION	Kullaným
SWITCHBOT_CLEAR_CONFIGURATION	Sil
SYSTEM_DUNGEON_BUTTON	[F5] Zindanlar
SYSTEM_OPTION_CPU_TILING_1	CPU çakýþmayan modu, daha zayýf bir bilgisayarýn hýzýný artýrabilir.
SYSTEM_OPTION_CPU_TILING_2	Grafik sorunlarý varsa 'Sistem Seçeneði' veya 'CONFIG.exe'yi seçin
SYSTEM_OPTION_CPU_TILING_3	ve Yer Paylaþýmsýz GPU Moduna geçin.
SYSTEM_OPTION_GPU_TILING_1	GPU Yer Paylaþýmsýz Mod, zayýf bir bilgisayarda yavaþ olabilir.
SYSTEM_OPTION_GPU_TILING_2	Grafiklerle ilgili sorunlarýnýz varsa, 'Sistem Seçenekleri'ni veya 'CONFIG.exe'yi seçin.
SYSTEM_OPTION_GPU_TILING_3	ve Yer Paylaþýmsýz GPU Moduna geçin
SYSTEM_WHISPER	[Sistem]
TARGET_BUTTON_ACCEPT_FIGHT	Anlaþma
TARGET_BUTTON_AVENGE	Ýntikam
TARGET_BUTTON_BUILDING_DESTROY	Yýkmak
TARGET_BUTTON_DISMOUNT	Ýnmek
TARGET_BUTTON_EMOTION_ALLOW	Duygular
TARGET_BUTTON_EXCHANGE	Ticaret
TARGET_BUTTON_EXCLUDE	Reddetmek
TARGET_BUTTON_EXIT_OBSERVER	Gözlemci Modunu Bitir
TARGET_BUTTON_FIGHT	Düello
TARGET_BUTTON_FRIEND	Dost
TARGET_BUTTON_INVITE_GUILD	Lonca daveti
TARGET_BUTTON_INVITE_PARTY	Grup daveti
TARGET_BUTTON_LEAVE_PARTY	Grubu terket
TARGET_BUTTON_REQUEST_ENTER_PARTY	Gruba katýl
TARGET_BUTTON_VIEW_EQUIPMENT	Zýrh
TARGET_BUTTON_WHISPER	Fýsýldama
TARGET_INFO_RACE_ZODIAC	Zodiac
TARGET_INFO_RESISTS	Dirençler:
TARGET_INFO_RESISTS_LINE0	Kýlýç: %d%% Ýki Elle: %d%% Çan: %d%%
TARGET_INFO_RESISTS_LINE1	Hançer: %d%% Hayran: %d%% Yay: %d%%
TARGET_INFO_REGEN_INFO	Her %d saniyede bir %d%% yenilenir.
TARGET_INFO_GOLD_MIN_MAX	Yang: %s ~ %s
TARGET_INFO_NEWRACE_INSECT	Böcek
TARGET_INFO_NEWRACE_FIRE	Yangýn
TARGET_INFO_NEWRACE_ICE	Buz
TARGET_INFO_NEWRACE_DESERT	Çöl
TARGET_INFO_NEWRACE_TREE	Aðaç
TARGET_INFO_DAMAGE	Hasar : %s - %s
TARGET_INFO_EXP	Deneyimi: %s
TARGET_INFO_MAINRACE	Yarýþ : %s
TARGET_INFO_MAX_HP	Maks. HP : %s
TARGET_INFO_NO_ITEM_TEXT	Düþen öðe yok
TARGET_INFO_NO_RACE	Yarýþ Yok
TARGET_INFO_RACE_ANIMAL	Hayvanlar
TARGET_INFO_RACE_DARK	Karanlýk
TARGET_INFO_RACE_DEVIL	Þeytanlar
TARGET_INFO_RACE_EARTH	Dünya
TARGET_INFO_RACE_ELEC	Yýldýrým
TARGET_INFO_RACE_FIRE	Ateþ
TARGET_INFO_RACE_HUMAN	Orta Ýnsan
TARGET_INFO_RACE_ICE	Buz
TARGET_INFO_RACE_METIN	Metin Taþý
TARGET_INFO_RACE_MILGYO	Mistikler
TARGET_INFO_RACE_ORC	Orklar
TARGET_INFO_RACE_UNDEAD	Ölümsüz
TARGET_INFO_RACE_WIND	Rüzgar
TARGET_INFO_STONE_NAME	Hayalet Taþ
TARGET_INFO_SUBRACE	Alt sýnýf: %s
TARGET_LEVEL_BOSS	Patron
TARGET_LEVEL_KING	5.Seviye
TARGET_LEVEL_KNIGHT	3.Seviye
TARGET_LEVEL_PAWN	1.Seviye
TARGET_LEVEL_S_KNIGHT	4.Seviye
TARGET_LEVEL_S_PAWN	2.Seviye
TASKBAR_ATTACK	Atak
TASKBAR_AUTO	Otomatik Saldýrý
TASKBAR_CAMERA	Kamera
TASKBAR_EXP	Deneyim
TASKBAR_HP	HP
TASKBAR_MOVE	ilerle
TASKBAR_SKILL	Beceri
TASKBAR_SP	SP
TASKBAR_ST	ST
THING_COUNT	hepsi
TICKET_PRIORITY_HIGH	Yüksek
TICKET_PRIORITY_MEDIUM	Orta
TICKET_PRIORITY_LOW	Düþük
TICKET_STATE_ON_HOLD	Devam ediyor
TICKET_STATE_CLOSED	Kapalý
TICKET_STATE_SOLVED	Düzeltildi
TICKET_ADD_NAME	Ad:
TICKET_ADD_TITLE	Üye Ekle
TICKET_ADD_ACCEPT	Kabul Et
TICKET_SEND	Gönder
TICKET_TITLE	Bilet Sistemi
TICKET_MY_TICKETS	Biletlerim
TICKET_ADMINISTRATION	Yönet
TICKET_SORT_BY Sýralama	ölçütü:
TICKET_ID	kimliði
TICKET_TITLE_T	Baþlýk
TICKET_PRIORITY	Öncelik
TICKET_DATE	Tarih
TICKET_STATE	Eyaleti
TICKET_CREATE_NEW	Yeni bilet oluþtur
TICKET_SEARCH	Kimliðe göre arama:
TICKET_SEARCH_BUTTON	Arama
TICKET_NAME	Adý
TICKET_ANSWER	Yanýtla
TICKET_DELETE	Üyeyi sil
TICKET_ADD_MEMBER	Yeni üye ekle
TICKET_REFRESH	Yenile
TICKET_CATEGORY	Kategorisi
TICKET_CATEGORY_0	Hepsi
TITLE_DUNGEON_INFO	Dungeon Dashboard v2
TITLE_DUNGEON_INFO_ITEM	Gerekli Nesne
TITLE_DUNGEON_INFO_LEVEL	Sýnýr seviyesi: %d - %d
TITLE_DUNGEON_INFO_LOCATION	Konum: %s
TITLE_DUNGEON_INFO_GROUP_LIMIT	Grup sýnýrý: %d - %d
TITLE_DUNGEON_INFO_COOLDOWN	Bekleme Süresi: %s
TITLE_DUNGEON_INFO_STRENGTH	Güç: %s
TITLE_DUNGEON_INFO_DEFENSE	Savunma: %s
TITLE_DUNGEON_INFO_TIME_LIMIT	Zaman Sýnýrý: %s
TITLE_DUNGEON_INFO_TIME_PERFORMED	Gerçekleþtirilen Sayý: %d
TITLE_DUNGEON_INFO_DAMAGE_DONE	Verilen hasar: %d
TITLE_DUNGEON_INFO_DAMAGE_RECEIVED	Alýnan Hasar: %d
TITLE_DUNGEON_INFO_RECORD_TIME	Kayýt: %s
TITLE_DUNGEON_INFO_TIME_DONE_RANKING	Bitti
TITLE_DUNGEON_INFO_MAXIMUM_DEATHS	Maksimum Ölüm
TITLE_DUNGEON_INFO_MAXIMUM_DAMAGE	Maksimum Hasar
TOOLTIP_AFFECT_CRISTALES_1	Savunma Kristali	SNA
TOOLTIP_AFFECT_CRISTALES_2	Saldýrý Kristali	SNA
TOOLTIP_AFFECT_CRISTALES_3	Kaos Kristali	SNA
TOOLTIP_AFFECT_CRISTALES_4	Direnç Kristali	SNA
TOOLTIP_AFFECT_CRISTALES_5	Saflýk Kristali	SNA
TOOLTIP_AFFECT_POTION_1	Kýrmýzý Ýksir	SNA
TOOLTIP_AFFECT_POTION_2	Turuncu Sprey	SNA
TOOLTIP_AFFECT_POTION_3	Sarý Ýksir	SNA
TOOLTIP_AFFECT_POTION_4	Yeþil Sprey	SNA
TOOLTIP_AFFECT_POTION_5	Mavi Ýksir	SNA
TOOLTIP_AFFECT_POTION_6	Beyaz Ýksir	SNA
TOOLTIP_AFFECT_SUNGMA_DESC	Burasý Sung Mahi'nin iradesi ile dolu.
TOOLTIP_AFFECT_SUNGMA_HP	SungMa'nýn Ýrade Gücü (VIT): %d
TOOLTIP_AFFECT_SUNGMA_IMMUNE	SungMa'nýn Ýradesi (INT): %d
TOOLTIP_AFFECT_SUNGMA_MOVE	SungMa'nýn Ýradesi (RES): %d
TOOLTIP_AFFECT_SUNGMA_STR	SungMa'nýn Ýrade Gücü (STR): %d
TOOLTIP_ANTI_CRITICAL_PCT	Kritik Vuruþ Direnci +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Delici Vuruþ Direnci +%d%%	SA
TOOLTIP_ANTI_SELL	Depoda satýlamaz
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Hayvanlara karþý güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Ninjalara karþý güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BELL	Çan savunmasýndan kopuþ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BOW	Ok savunmasýndan kopuþ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CLAW	Pençe savunmasýndan kopuþ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DAGGER	Hançer savunmasýndan kopuþ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DARK	Karanlýðýn Gücü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DESERT	Çöl canavarýna karþý güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Þeytanlara karþý güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_EARTH	Dünyanýn Gücü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ELEC	Yýldýrým Gücü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_FAN	Yelpaze savunmasýndan kopuþ +%%d	SA
TOOLTIP_APPLY_ATTBONUS_FIRE	Ateþ Gücü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Yarý insanlara karþý güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ICE	Buz Gücü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_INSECT	Böceklere karþý güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Mistiklere karþý güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Canavarlara karþý güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Orklara karþý güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Þamanlara karþý güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Suralara karþý güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SWORD	Kýlýç savunmasýndan kopuþ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_TWOHAND	Çift el savunmasýndan kopuþ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Ölümsüzlere karþý güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Savasçýlara karþý güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WIND	Rüzgarýn Gücü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Lycanlar'a karþý güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ZODIAC	Güç c. Zodyak Canavarlarý +%d%%	SA
TOOLTIP_APPLY_ATT_BOSS	Patronlara Karþý Güç +%d%%	SA
TOOLTIP_APPLY_ATT_STONE	Yakýn Dövüþe Karþý Güç +%d%%	SA
TOOLTIP_APPLY_BLEEDING_PCT	Kanama Saldýrýsý +%d%%	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	Kanama saldýrýlarýnda direnç +%d%%	SA
TOOLTIP_APPLY_BLOCK	Yakýn dövüþ saldýrýlarý bloklama þansý: %d%%	SA
TOOLTIP_APPLY_CRITICAL_PCT	Kritik Vuruþ Þansý: +%d%%	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	Vuruþ yapýldýðýnda Sp geri kazaným þansý %d%%	SA
TOOLTIP_APPLY_DODGE	Oklardan korunma þansý %d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK	Karanlýðýn gücü +%d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK2	Karanlýðýn gücü +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_EARTH	Topraðýn gücü +%d%%	SA
TOOLTIP_APPLY_ENCHANT_EARTH2	Topraðýn gücü +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_ELECT	Þimþeklerin gücü +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ELECT2	Þimþeklerin gücü +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_FIRE	Ateþin gücü +%d%%	SA
TOOLTIP_APPLY_ENCHANT_FIRE2	Ateþin gücü +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_ICE	Buzun gücü +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ICE2	Buzun gücü +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_WIND	Rüzgarýn gücü +%d%%	SA
