AFF_LOVE_POINT	Punto amore: %d%%
PVP_OPTION_PROTECT	Protezione
PVP_OPTION_REVENGE	Ostile
QUEST_MIN	Min.
QUEST_SEC	Sec.
QUEST_TIMEOVER	Tempo Scaduto
QUEST_UNLIMITED_TIME	Nessun limite di tempo.
QUICKSLOT_REGISTER_DISABLE_ITEM	Questo elemento non può essere aggiunto al campo di accesso rapido.
RANKING	Rank	
RARITY_BROKEN_TEXT	|cffFF5D5DBroken Item|r\mAn l'oggetto che hai equipaggiato si è rotto, riparalo.	
RARITY_LOW_TEXT	|cffFFC800Un oggetto sta per rompersi|r\mHai un oggetto con%d%% Use\m Riparalo prima che si rompa.	
RECEIVE_MESSAGE	%s ti ha inviato un messaggio.
RED_KINGDOM	|cFFFBB497Shinsoo:|h|r	
REFINE_COST	Costo: %s	
REFINE_COST_UPGRADE	[i] Prezzo di miglioramento	
REFINE_CURRENT_ITEM	[i] attuale obiezione	
REFINE_CURRENT_PERCENTAGE	[i] Probabilità di miglioramento:%d%%	
REFINE_DESTROY_WARNING	Questo oggetto potrebbe essere distrutto durante l'aggiornamento.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Vuoi davvero aggiornare questo articolo?
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	Se fallisci, l'oggetto verrà distrutto. Vuoi continuare?
REFINE_DOWN_GRADE_WARNING	L'articolo potrebbe essere declassato in questo modo.
REFINE_DO_YOU_SEPARATE_METIN	Vuoi rimuovere tutte le pietre spirituali disponibili?
REFINE_ELEMENT_CHANGE_TEXT	%s ora ha il %s elemento!
REFINE_ELEMENT_DOWNGRADE_TEXT	L'incantesimo elementale è stato declassato.
REFINE_ELEMENT_TEXT_DARK	Oscurita' +%d
REFINE_ELEMENT_TEXT_EARTH	Terra +%d
REFINE_ELEMENT_TEXT_ELECT	Luce +%d
REFINE_ELEMENT_TEXT_FIRE	Fuoco +%d
REFINE_ELEMENT_TEXT_ICE	Ghiaccio +%d
REFINE_ELEMENT_TEXT_WIND	Vento +%d
REFINE_ELEMENT_UPGRADE_FAIL_TEXT	L'incantesimo elementale è fallito.
REFINE_ELEMENT_UPGRADE_SUCCESS_TEXT	Incantesimo elementale riuscito!
REFINE_ERROR_ADD_PERC_STONES	[Refine] Non puoi aumentare la percentuale di successo delle pietre.	
REFINE_ERROR_ITEM_COUNT	[Refine] può aggiungere solo 1 conteggio, non di più.	
REFINE_ERROR_ITEM_OVERFLOW_PERCENTAGE	[Refine] La percentuale totale è superiore a 100, non puoi farlo.	
REFINE_ERROR_ITEM_VNUM	[Refine] Non puoi aggiungere questo articolo	
REFINE_FAILURE	Oh no, non ha funzionato! Abbiamo fallito.
REFINE_FAILURE_CAN_NOT_ATTACH	%s non può essere incluso in quell'Articolo.
REFINE_FAILURE_CAN_NOT_ATTACH0	Non c'è modo di aggiungere %s.	
REFINE_FAILURE_EQUIP_ITEM	Non puoi potenziare gli oggetti equipaggiati.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Nessuna Pietra Spirituale può essere tolta.
REFINE_FAILURE_NEED_BETTER_SCROLL	Hai bisogno di una pergamena di avanzamento migliore.
REFINE_FAILURE_NO_GOLD_SOCKET	Non c'è nessuna presa Gold da includere %s .
REFINE_FAILURE_NO_MORE_SOCKET	Non puoi aggiungere altri socket.
REFINE_FAILURE_NO_SOCKET0	Non esiste una presa libera per il %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Non puoi aggiungere altre prese a questo articolo.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Questo articolo non può essere aggiornato.
REFINE_INCREASE_PERCENTAGE	[Extra +%d%%]	
REFINE_NEED_ITEMS	[i] oggetti necessari	
REFINE_NEXT_ITEM	[i] Oggetto migliorato	
REFINE_PERCENTAGE_EXTRA	fifteen%	
REFINE_PERCENTAGE_LOW	5%	
REFINE_PERCENTAGE_MEDIUM	10%	
REFINE_SUCCESS	L'avanzamento dell'oggetto ha avuto successo.
REFINE_SUCCESS_PROBALITY	Possibilità di avanzamento %d%%
REFINE_TOOLTIP_ITEM_DESCRIPTION_1	
REFINE_TOOLTIP_ITEM_DESCRIPTION_2	
REFINE_TOOLTIP_ITEM_DESCRIPTION_3	
REFINE_TOOLTIP_ITEM_DESCRIPTION_4	
REFINE_WARNING2	Vuoi continuare?
REVIVE_AUTO_TOWN_MESSAGE	Rianimazione automatica in: {}	
SAFEBOX_ERROR	Hai inserito una password errata.	
SAFEBOX_SELL_DISABLE_SAFEITEM	Non puoi vendere nessuno degli oggetti immagazzinati.	
SAFEBOX_WRONG_PASSWORD	Le password devono essere identiche.	
SASH_ABSORB_CHANCE	Absorption:%d%%	
SASH_ABSORB_CHANCE2	Absorption: %d%% ~ %d%%	
SASH_DEL_ABSORDITEM	Assorbi oggetto, l'oggetto assorbito verrà distrutto.	
SASH_DEL_SERVEITEM	La seconda fascia viene distrutta se il processo fallisce	
SASH_DO_YOU_CLEAN	Vuoi sbarazzarti del bonus?	
SASH_FAILURE_CLEAN	Il bonus non può essere rimosso.	
SASH_REFINE_COST	Prezzo di assorbimento: %d	
SAVED_ACCOUNT	Account Salvati
SAVE_ACCOUNT	Salva Account
SCREENSHOT_SAVE1	Screenshot salvato in '%s'.	
SCREENSHOT_SAVE2	File di cattura dello schermo.	
SCREENSHOT_SAVE_FAILURE	Cattura dello schermo non riuscita.	
SEARCH_BONUS	Con bonus	
SEARCH_DEFAULT	Default	
SEARCH_NOBONUS	Senza bonus	
SECOND	Sec	
SELECT_CAN_NOT_DELETE	Non puoi cancellare questo carattere.	
SELECT_CHANGED_NAME	Hai cambiato il nome del personaggio.	
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Il nome del personaggio è già esistente.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Riprova.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Questo è il nome del personaggio sbagliato.
SELECT_CHANGE_NAME_TITLE	Cambia il nome del personaggio.
SELECT_DELEING	Eliminazione...
SELECT_DELETED	Eliminazione riuscita.
SELECT_DO_YOU_DELETE_REALLY	Vuoi continuare?
SELECT_EMPTY_SLOT	Questo è un campo vuoto.	
SELECT_INPUT_CHANGING_NAME	Intromesso un nuovo nome del personaggio.	
SELECT_UNKNOWN_LANG	Questa lingua non è attualmente disponibile.	
SEPTEMBER	Settembre	
SERVERNAME	Vidra2	
SERVERNAMETEST	Server test	
SERVER_TIME	Server Tempo
SHIP_MAST	Mast	
SHOP_BUY_INFO	Scegli l'articolo che desideri acquistare nella vetrina del negozio.
SHOP_CANNOT_SELL_ITEM	Questo articolo non può essere venduto.
SHOP_ERROR_UNKNOWN	Unknown Shop Error: %s
SHOP_EXCEED_LIMIT_TODAY	Hai già superato il tuo limite giornaliero per l'utilizzo dei punti.
SHOP_INVALID_POS	Questo articolo non può essere utilizzato qui.
SHOP_INVENTORY_FULL	Il tuo inventario è pieno.
SHOP_NOT_ENOUGH_BATTLE_POINT	Non hai abbastanza punti combattimento.	
SHOP_NOT_ENOUGH_COUNT	Non hai abbastanza oggetti.	
SHOP_NOT_ENOUGH_MONEY	Non hai abbastanza yang	
SHOP_NOT_ENOUGH_MONEY_EX	Non hai abbastanza Yang.	
SHOP_SEARCH_TITLE	Ricerca articolo	
SHOP_SELL_INFO	Scegli l'oggetto che vuoi vendere nella finestra del tuo inventario.	
SHOP_SOLDOUT	Esaurito	
SHOT_ERROR_UNKNOWN	Errore sconosciuto durante un attacco a lunga distanza: %s	
SKILL_BLEEDING	Sanguinamento
SKILL_BOHO	Riflettere
SKILL_CHEONGEUN	Corpo forte
SKILL_EUNHYEONG	Camuffare
SKILL_FIRE	Fuoco permanente
SKILL_FISHMIND	La pesca del marmo è attiva
SKILL_GEOMGYEONG	Aura della spada
SKILL_GICHEON	L'aiuto del drago
SKILL_GONGPO	Paura
SKILL_GRADE_NAME_GRAND_MASTER	%s Gran Maestro
SKILL_GRADE_NAME_MASTER	%s Maestro
SKILL_GRADE_NAME_PERFECT_MASTER	%s Maestro Perfetto
SKILL_GROUP_ASSASSIN_1	Lama
SKILL_GROUP_ASSASSIN_2	Arco
SKILL_GROUP_HORSE	Cavalcare
SKILL_GROUP_SHAMAN_1	Drago
SKILL_GROUP_SHAMAN_2	Guarigione
SKILL_GROUP_SURA_1	Arma
SKILL_GROUP_SURA_2	Magia
SKILL_GROUP_WARRIOR_1	Corpo
SKILL_GROUP_WARRIOR_2	Mentale
SKILL_GWIGEOM	Enchanted Lama
SKILL_GYEONGGONG	Piuma che cammina
SKILL_HEUKSIN	Protezione Oscura
SKILL_HOSIN	Benedizione
SKILL_INC_ATKSPD	Velocità d'attacco aumentata
SKILL_INC_MOVSPD	Velocità di movimento aumentata
SKILL_JEONGWI	Berserk
SKILL_JEUNGRYEOK	Attacco +
SKILL_JUMAGAP	Armatura incantata
SKILL_KWAESOK	Velocita'
SKILL_MUYEONG	Fantasma della fiamma
SKILL_NEED_EMPTY_BOTTLE	Non ho una bottiglia vuota.
SKILL_NEED_POISON_BOTTLE	Non ho una bottiglia di veleno
SKILL_ONLY_FOR_GUILD_WAR	Puoi usare questa Abilità solo durante una Guild War.
SKILL_PABEOP	Neutralizza Incantesimo
SKILL_POWERFUL_STRIKE	Attacco frastornante
SKILL_SLOW	Lento
SKILL_STUN	Stordimento
SKILL_SUMMON_DESCRIPTION	Possibilità dell'evocazione: %d%%
SKILL_TOOLTIP_INT	Intelligenza
SKILL_TOOLTIP_LEVEL	Livello
SKILL_TOXICDIE	Avvelenamento
SNOWDUNGEON	Torre di guardia di Nemere	
SPIDERBARONESA	Regina Ragno	
STAT_MINUS_CON	Regolazione della vitalità (rimanenti: %d)
STAT_MINUS_DEX	Regolazione della destrezza (rimanenti: %d)
STAT_MINUS_INT	Regolazione dell'intelligenza (rimanenti: %d)
STAT_MINUS_STR	Regolazione della forza (rimanenti: %d)
STAT_TOOLTIP_ATT	Valore di attacco
STAT_TOOLTIP_ATT_SPEED	Velocità d'attacco
STAT_TOOLTIP_BASE_LEVEL	Livello
STAT_TOOLTIP_CAST_SPEED	Velocità magia
STAT_TOOLTIP_CON	Aumenta HP e difesa
STAT_TOOLTIP_CONQUEROR_LEVEL	Livello Campione
STAT_TOOLTIP_DEF	Difesa
STAT_TOOLTIP_DEX	Aumenta l'attacco e l'evasione
STAT_TOOLTIP_IMG_CON	VIT: Aumenta HP e difesa
STAT_TOOLTIP_IMG_DEX	DEX: Aumenta l'attacco e l'evasione
STAT_TOOLTIP_IMG_INT	INT: Aumenta SP, attacco magico e difesa
STAT_TOOLTIP_IMG_STR	STR: Aumenta il valore di attacco e il danno
STAT_TOOLTIP_INT	Aumenta SP, attacco magico e difesa
STAT_TOOLTIP_MAG_ATT	Valore di attacco magico
STAT_TOOLTIP_MAG_DEF	Difesa magica
STAT_TOOLTIP_MOVE_SPEED	Velocità di movimento
STAT_TOOLTIP_STR	Aumenta il valore di attacco e il danno
STAT_TOOLTIP_SUNGMA_HP	Gli HP variano a seconda della volontà di Sungma (vit) del nemico e della mappa.	
STAT_TOOLTIP_SUNGMA_IMMUNE	La predisposizione a contrarre effetti di stato varia a seconda della volontà di Sungma (INT) del nemico e della mappa.	
STAT_TOOLTIP_SUNGMA_MOVE	La velocità di movimento varia a seconda della volontà di Sungma (Res) del nemico e della mappa.	
STAT_TOOLTIP_SUNGMA_STR	L'attacco varia a seconda della volontà di Sungma (STR) del nemico e della mappa.	
SWITCHBOT_1	Attivo	
SWITCHBOT_10	Chiudi scheda	
SWITCHBOT_12	Questo slot è già stato utilizzato!	
SWITCHBOT_13	Articolo aggiunto!	
SWITCHBOT_14	Condizione	
SWITCHBOT_15	Massimizza	
SWITCHBOT_16	Minimizzare	
SWITCHBOT_17	Trascina qui l'oggetto	
SWITCHBOT_2	Mutevole	
SWITCHBOT_3	Avendo	
SWITCHBOT_4	Attivare	
SWITCHBOT_5	Finito	
SWITCHBOT_7	Inizia a cambiare	
SWITCHBOT_8	Nessuno	
SWITCHBOT_9	Non puoi cambiare il bonus di questo oggetto	
SWITCHBOT_CLEAR_ATTR	Rimuovi	
SWITCHBOT_CLEAR_CONFIGURATION	Rimuovi	
SWITCHBOT_CONFIGURATION_TITLE	Salva Bonus	
SWITCHBOT_EMPTY_ATTR	Seleziona bonus	
SWITCHBOT_LOAD_CONFIGURATION	Usa	
SWITCHBOT_SAVE	Save	
SWITCHBOT_SAVE_BUTTON	Salva lista	
SWITCHBOT_SELECT_ATTR	Bonus	
SWITCHBOT_START	Start	
SWITCHBOT_STOP	Stop	
SWITCHBOT_TITLE	[F9] Switchbot	
SYSTEM_DUNGEON_BUTTON	[F5] Dungeon info	
SYSTEM_OPTION_CPU_TILING_1	La modalità senza sovrapposizione della CPU può migliorare la velocità di un PC più debole.	
SYSTEM_OPTION_CPU_TILING_2	Se ci sono problemi con la grafica, seleziona 'opzione di sistema' o 'config.exe ‘	
SYSTEM_OPTION_CPU_TILING_3	e cambia la modalità GPU senza sovrapposizioni.	
SYSTEM_OPTION_GPU_TILING_1	La modalità GPU senza sovrapposizioni può essere lenta su un PC più debole.	
SYSTEM_OPTION_GPU_TILING_2	Se hai problemi con la grafica, scegli 'opzioni di sistema' o 'config.exe'	
SYSTEM_OPTION_GPU_TILING_3	e cambia la modalità GPU senza sovrapposizioni	
SYSTEM_WHISPER	[System]	
TARGET_BUTTON_ACCEPT_FIGHT	Concordare
TARGET_BUTTON_AVENGE	Vendetta
TARGET_BUTTON_BUILDING_DESTROY	Distruggere
TARGET_BUTTON_DISMOUNT	Smontare
TARGET_BUTTON_EMOTION_ALLOW	Emozioni
TARGET_BUTTON_EXCHANGE	Commercio
TARGET_BUTTON_EXCLUDE	Escludere
TARGET_BUTTON_EXIT_OBSERVER	Termina la modalità osservatore
TARGET_BUTTON_FIGHT	Duello
TARGET_BUTTON_FRIEND	Amico
TARGET_BUTTON_INVITE_GUILD	Invito alla gilda
TARGET_BUTTON_INVITE_PARTY	Invito di gruppo
TARGET_BUTTON_LEAVE_PARTY	Lascia il gruppo
TARGET_BUTTON_REQUEST_ENTER_PARTY	Unirsi al gruppo
TARGET_BUTTON_VIEW_EQUIPMENT	Attrezzatura
TARGET_BUTTON_WHISPER	Sussurrare
TARGET_INFO_DAMAGE	Damage: %s - %s	
TARGET_INFO_EXP	Experience: %s	
TARGET_INFO_GOLD_MIN_MAX	Yang: %s ~ %s	
TARGET_INFO_MAINRACE	Race: %s	
TARGET_INFO_MAX_HP	Max. HP: %s	
TARGET_INFO_NEWRACE_DESERT	Deserto	
TARGET_INFO_NEWRACE_FIRE	Fuoco	
TARGET_INFO_NEWRACE_ICE	Ghiaccio	
TARGET_INFO_NEWRACE_INSECT	Insetti	
TARGET_INFO_NEWRACE_TREE	Alberi	
TARGET_INFO_NO_ITEM_TEXT	Senza goccia	
TARGET_INFO_NO_RACE	Nessuna gara	
TARGET_INFO_RACE_ANIMAL	Animali	
TARGET_INFO_RACE_DARK	Oscurita'	
TARGET_INFO_RACE_DEVIL	Diavolo	
TARGET_INFO_RACE_EARTH	Terra	
TARGET_INFO_RACE_ELEC	Lampo di luce	
TARGET_INFO_RACE_FIRE	Fuoco	
TARGET_INFO_RACE_HUMAN	Mezzi Uomini	
TARGET_INFO_RACE_ICE	Ghiaccio	
TARGET_INFO_RACE_METIN	Pietre Metin	
TARGET_INFO_RACE_MILGYO	Esoterici	
TARGET_INFO_RACE_ORC	Orchi	
TARGET_INFO_RACE_UNDEAD	Zombie	
TARGET_INFO_RACE_WIND	Vento	
TARGET_INFO_RACE_ZODIAC	Zodiaco
TARGET_INFO_REGEN_INFO	Regen: %d%% Every %d Sec.	
TARGET_INFO_RESISTS	Resistances:	
TARGET_INFO_RESISTS_LINE0	Spada: %d%% due mani: %d%% Campana: %d%%	
TARGET_INFO_RESISTS_LINE1	Pugnale: %d%% Ventaglio: %d%% Arco: %d%%	
TARGET_INFO_STONE_NAME	Pietra fantasma	
TARGET_INFO_SUBRACE	Sottoclasse: %s	
TARGET_LEVEL_BOSS	Boss
TARGET_LEVEL_KING	Level 5.
TARGET_LEVEL_KNIGHT	Level 3.
TARGET_LEVEL_PAWN	Level 1.
TARGET_LEVEL_S_KNIGHT	Level 4.
TARGET_LEVEL_S_PAWN	Level 2.
TASKBAR_ATTACK	Attacco
TASKBAR_AUTO	Attacco automatico
TASKBAR_CAMERA	Camera
TASKBAR_EXP	Esperienza
TASKBAR_HP	HP
TASKBAR_MOVE	Movimento
TASKBAR_SKILL	Skill
TASKBAR_SP	SP
TASKBAR_ST	ST
THING_COUNT	tutto	
TICKET_ADD_ACCEPT	Accettare	
TICKET_ADD_MEMBER	Aggiungi nuovo membro	
TICKET_ADD_NAME	Name:	
TICKET_ADD_TITLE	Aggiungi membro	
TICKET_ADMINISTRATION	Maneggio	
TICKET_ANSWER	Risposta	
TICKET_CATEGORY	Categoria	
TICKET_CATEGORY_0	Tutti	
TICKET_CHANGE_PERMISIONS	Modifica autorizzazioni	
TICKET_CREATE_NEW	Crea nuovo biglietto	
TICKET_DATE	Date	
TICKET_DELETE	Elimina membro	
TICKET_ID	Id	
TICKET_MY_TICKETS	I miei biglietti	
TICKET_NAME	Name	
TICKET_PRIORITY	Priority	
TICKET_PRIORITY_HIGH	high	
TICKET_PRIORITY_LOW	Low	
TICKET_PRIORITY_MEDIUM	Half	
TICKET_SEARCH	Search for ID:	
TICKET_SEARCH_BUTTON	Seek	
TICKET_SEND	Send	
TICKET_SORT_BY	Sort by:	
TICKET_STATE	Condizione	
TICKET_STATE_CLOSED	Chiuso	
TICKET_STATE_ON_HOLD	In corso	
TICKET_STATE_SOLVED	Risolto	
TICKET_TITLE	Sistema di biglietti	
TICKET_TITLE_T	Qualificazione	
TITLE_DUNGEON_INFO	Pannello dungeon V2	
TITLE_DUNGEON_INFO_COOLDOWN	Coldown: %s	
TITLE_DUNGEON_INFO_DAMAGE_DONE	Danno fatto: %d	
TITLE_DUNGEON_INFO_DAMAGE_RECEIVED	Danno ricevuto: %d	
TITLE_DUNGEON_INFO_DEFENSE	Difesa: %s	
TITLE_DUNGEON_INFO_GROUP_LIMIT	Limite di gruppo: %d - %d	
TITLE_DUNGEON_INFO_ITEM	Oggetto necessario	
TITLE_DUNGEON_INFO_LEVEL	Limite liv: %d - %d	
TITLE_DUNGEON_INFO_LOCATION	Location: %s	
TITLE_DUNGEON_INFO_MAXIMUM_DAMAGE	Massimo danno	
TITLE_DUNGEON_INFO_MAXIMUM_DEATHS	Numero massimo di morti	
TITLE_DUNGEON_INFO_RECORD_TIME	Record: %s	
TITLE_DUNGEON_INFO_STRENGTH	Forza: %s	
TITLE_DUNGEON_INFO_TIME_DONE_RANKING	Tempo eseguito	
TITLE_DUNGEON_INFO_TIME_LIMIT	Tempo limite: %s	
TITLE_DUNGEON_INFO_TIME_PERFORMED	Tempi compiuti: %d	
TOOLTIP_AFFECT_CRISTALES_1	Cristallo di difesa	SNA
TOOLTIP_AFFECT_CRISTALES_2	Cristallo d'attacco	SNA
TOOLTIP_AFFECT_CRISTALES_3	Cristallo del caos	SNA
TOOLTIP_AFFECT_CRISTALES_4	Cristallo di resistenza	SNA
TOOLTIP_AFFECT_CRISTALES_5	Cristallo di purezza	SNA
TOOLTIP_AFFECT_POTION_1	Rugiada Rossa	SNA
TOOLTIP_AFFECT_POTION_2	Rugiada Arancione	SNA
TOOLTIP_AFFECT_POTION_3	Rugiada Gialla	SNA
TOOLTIP_AFFECT_POTION_4	Rugiada Verde	SNA
TOOLTIP_AFFECT_POTION_5	Rugiada Blu	SNA
TOOLTIP_AFFECT_POTION_6	Rugiada Bianca	SNA
TOOLTIP_AFFECT_SUNGMA_DESC	La volontà di Sung Mahi avvolge questo posto.	
TOOLTIP_AFFECT_SUNGMA_HP	WILL OF SUNGMA (VIT): %d	
TOOLTIP_AFFECT_SUNGMA_IMMUNE	Sungma will (int): %d	
TOOLTIP_AFFECT_SUNGMA_MOVE	WILL OF SUNGMA (RES): %d	
TOOLTIP_AFFECT_SUNGMA_STR	WILL OF SUNGMA (STR): %d	
TOOLTIP_ANTI_CRITICAL_PCT	Resistenza ai colpi critici +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Resistenza ai colpi trafiggenti +%d%%	SA
TOOLTIP_ANTI_SELL	Non vendibile in negozio.
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Forte contro gli animali +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Forte contro i Ninja +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BELL	Interruzione della difesa della campana +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BOW	Interruzione della difesa della freccia +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CLAW	Frattura dell'artiglio +%d %%	SA
TOOLTIP_APPLY_ATTBONUS_DAGGER	Rottura della difesa del pugnale +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DARK	Potere delle tenebre +%d %%	SA
TOOLTIP_APPLY_ATTBONUS_DESERT	Forte contro i mostri del deserto +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Forte contro diavolo +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_EARTH	Potere della Terra +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ELEC	Potenza del fulmine +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_FAN	Interruzione della difesa del tifoso +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_FIRE	Potenza del fuoco +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Forte contro mezzuomini +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ICE	Forte contro Ghiaccio +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_INSECT	Forte contro gli insetti +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Forte contro gli esoterici +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Forte contro i mostri +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Forte contro gli orchi +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Forte contro gli Shamani +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Forte contro Sura +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SWORD	Rottura della difesa della spada +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_TWOHAND	Pausa difensiva a due mani +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Forte contro gli zombie +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Forte contro Guerrieri +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WIND	Energia eolica +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Forte contro i Lycan + %d%%	SA
TOOLTIP_APPLY_ATTBONUS_ZODIAC	Danno c. Mostri dello zodiaco +%d %%	SA
TOOLTIP_APPLY_ATT_BOSS	Forte contro i boss + %d%%	SA
TOOLTIP_APPLY_ATT_STONE	Forte contro metin + %d%%	SA
TOOLTIP_APPLY_BLEEDING_PCT	Attacco sanguinante + %d%%	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	Resistenza all'attacco sanguinante: +%d%%	SA
TOOLTIP_APPLY_BLOCK	Possibilità di bloccare un attacco in corpo a corpo %d%%	SA
TOOLTIP_APPLY_CRITICAL_PCT	Possibilità di colpi critici +%d%%	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% Possibilità di recuperare SP quando viene colpito	SA
TOOLTIP_APPLY_DODGE	Possibilità di evitare le frecce %d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK	Potere delle tenebre +%d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK2	Potere delle tenebre +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_EARTH	Potere della Terra +%d%%	SA
TOOLTIP_APPLY_ENCHANT_EARTH2	Potere della Terra +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_ELECT	Potere del fulmine +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ELECT2	Potere del fulmine +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_FIRE	Potere del fuoco +%d%%	SA
TOOLTIP_APPLY_ENCHANT_FIRE2	Potere del fuoco +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_ICE	Potere del ghiaccio +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ICE2	Potere del ghiaccio +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_WIND	Potenza del vento +%d%%	SA
TOOLTIP_APPLY_ENCHANT_WIND2	Potenza del vento +%d%% - +%d%%
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% Possibilità di bonus EXP	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% Possibilità di far cadere il doppio Yang	SA
TOOLTIP_APPLY_IMMUNE_FALL	Immune contro la caduta	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Difesa contro il rallentamento	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Difesa contro svenimento	SNA
TOOLTIP_APPLY_ITEM_ATT_POWER_REFINE	Valore di attacco %d - %d (+%d ~ +%d)	
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% Possibilità di far cadere il doppio degli oggetti	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% Possibilità, per ripristinare HP	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% Possibilità di ripristinare SP	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% possibilità di rubare SP	SA
TOOLTIP_APPLY_MAX_HP_PCT	Max. HP +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	Max. SP +%d%%	SA
TOOLTIP_APPLY_NOAFFECT	No effect
TOOLTIP_APPLY_NO_DEATH_PENALTY	Nessun punto esperienza andrà perso se il tuo personaggio viene rianimato nel luogo della sua morte.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% Possibilità di colpi trafiggenti	SA
TOOLTIP_APPLY_POISON_PCT	Possibilità di avvelenamento %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Resistenza al veleno %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Pozione %d%% effect raise	SA
TOOLTIP_APPLY_REFLECT_CURSE	Possibilità di riflettere Maledizione: %d%%	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%% Possibilità di riflettere i colpi in combattimento ravvicinato	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Possibilità di difesa contro gli attacchi ninja: %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Difesa campana %d%%	SA
TOOLTIP_APPLY_RESIST_CLAW	Difesa dell'artiglio +%d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Difesa pugnale %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Difesa ventaglio %d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Possibilità di difesa contro gli attacchi degli shamani: %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Possibilità di difesa contro gli attacchi sura: %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Difesa Spada %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Difesa Spadone %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Possibilità di difesa contro gli attacchi dei guerrieri: %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Resistenza al vento %d%%	SA
TOOLTIP_APPLY_RESIST_WOLFMAN	Possibilità di difesa contro gli attacchi di Lycan %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Possibilità di imparare dai libri aggiornato del fattore 2.5
